Source node name,Source node type,Relationship type,Target node type,Target node name
DB02530,DRUG,TREAT,DISEASE,C0001768
DB02530,DRUG,TREAT,DISEASE,C0008049
DB02530,DRUG,TREAT,DISEASE,C0009447
DB02530,DRUG,TREAT,DISEASE,C0009450
DB02530,DRUG,TREAT,DISEASE,C0019158
DB02530,DRUG,TREAT,DISEASE,C0019159
DB02530,DRUG,TREAT,DISEASE,C0019163
DB02530,DRUG,TREAT,DISEASE,C0025007
DB02530,DRUG,TREAT,DISEASE,C0035920
DB02530,DRUG,TREAT,DISEASE,C0040100
DB02530,DRUG,TREAT,DISEASE,C0042721
DB02530,DRUG,TREAT,DISEASE,C0085393
DB02530,DRUG,TREAT,DISEASE,C0086438
DB02530,DRUG,TREAT,DISEASE,C0221026
DB02530,DRUG,TREAT,DISEASE,C0740380
DB02530,DRUG,TREAT,DISEASE,C0854268
DB02530,DRUG,TREAT,DISEASE,C0917801
DB00855,DRUG,TREAT,DISEASE,C0022602
DB00855,DRUG,TREAT,DISEASE,C0162568
DB00855,DRUG,TREAT,DISEASE,C0555198
DB03128,DRUG,TREAT,DISEASE,C0026205
DB06770,DRUG,TREAT,DISEASE,C0030757
DB06756,DRUG,TREAT,DISEASE,C0019880
DB06756,DRUG,TREAT,DISEASE,C0268621
DB09278,DRUG,TREAT,DISEASE,C0042963
DB04272,DRUG,TREAT,DISEASE,C0001122
DB04272,DRUG,TREAT,DISEASE,C0001126
DB04272,DRUG,TREAT,DISEASE,C0002063
DB04272,DRUG,TREAT,DISEASE,C0018099
DB04272,DRUG,TREAT,DISEASE,C0022658
DB04272,DRUG,TREAT,DISEASE,C0085631
DB04272,DRUG,TREAT,DISEASE,C0220981
DB04272,DRUG,TREAT,DISEASE,C0392525
DB04272,DRUG,TREAT,DISEASE,C0403447
DB04272,DRUG,TREAT,DISEASE,C0854059
DB00936,DRUG,TREAT,DISEASE,C0003864
DB00936,DRUG,TREAT,DISEASE,C0003873
DB00936,DRUG,TREAT,DISEASE,C0010046
DB00936,DRUG,TREAT,DISEASE,C0011603
DB00936,DRUG,TREAT,DISEASE,C0020757
DB00936,DRUG,TREAT,DISEASE,C0021368
DB00936,DRUG,TREAT,DISEASE,C0021564
DB00936,DRUG,TREAT,DISEASE,C0026946
DB00936,DRUG,TREAT,DISEASE,C0029408
DB00936,DRUG,TREAT,DISEASE,C0030193
DB00936,DRUG,TREAT,DISEASE,C0032027
DB00936,DRUG,TREAT,DISEASE,C0033860
