Source node name,Source node type,Relationship type,Target node type,Target node name
DB00001,DRUG,DRUG_TARGETS,TARGET,P00734
DB00002,DRUG,DRUG_TARGETS,TARGET,P00533
DB00002,DRUG,DRUG_TARGETS,TARGET,O75015
DB00002,DRUG,DRUG_TARGETS,TARGET,P02745
DB00002,DRUG,DRUG_TARGETS,TARGET,P02746
DB00002,DRUG,DRUG_TARGETS,TARGET,P02747
DB00002,DRUG,DRUG_TARGETS,TARGET,P08637
DB00002,DRUG,DRUG_TARGETS,TARGET,P12314
DB00002,DRUG,DRUG_TARGETS,TARGET,P12318
DB00004,DRUG,DRUG_TARGETS,TARGET,P01589
DB00004,DRUG,DRUG_TARGETS,TARGET,P14784
DB00004,DRUG,DRUG_TARGETS,TARGET,P31785
DB00005,DRUG,DRUG_TARGETS,TARGET,P01375
DB00005,DRUG,DRUG_TARGETS,TARGET,P01374
DB00005,DRUG,DRUG_TARGETS,TARGET,P12314
DB00005,DRUG,DRUG_TARGETS,TARGET,P12318
DB00005,DRUG,DRUG_TARGETS,TARGET,P31994
DB00005,DRUG,DRUG_TARGETS,TARGET,P31995
DB00005,DRUG,DRUG_TARGETS,TARGET,P08637
DB00005,DRUG,DRUG_TARGETS,TARGET,O75015
DB00005,DRUG,DRUG_TARGETS,TARGET,P02745
DB00005,DRUG,DRUG_TARGETS,TARGET,P02746
DB00005,DRUG,DRUG_TARGETS,TARGET,P02747
DB00006,DRUG,DRUG_TARGETS,TARGET,P00734
DB00007,DRUG,DRUG_TARGETS,TARGET,P30968
DB00008,DRUG,DRUG_TARGETS,TARGET,P48551
DB00008,DRUG,DRUG_TARGETS,TARGET,P17181
DB00009,DRUG,DRUG_TARGETS,TARGET,P00747
DB00009,DRUG,DRUG_TARGETS,TARGET,P02671
DB00009,DRUG,DRUG_TARGETS,TARGET,P02679
DB00009,DRUG,DRUG_TARGETS,TARGET,P05121
DB00010,DRUG,DRUG_TARGETS,TARGET,Q02643
DB00011,DRUG,DRUG_TARGETS,TARGET,P17181
DB00011,DRUG,DRUG_TARGETS,TARGET,P48551
DB00012,DRUG,DRUG_TARGETS,TARGET,P19235
DB00013,DRUG,DRUG_TARGETS,TARGET,P00747
DB00013,DRUG,DRUG_TARGETS,TARGET,Q03405
DB00013,DRUG,DRUG_TARGETS,TARGET,P05121
DB00013,DRUG,DRUG_TARGETS,TARGET,P05120
DB00013,DRUG,DRUG_TARGETS,TARGET,P05154
DB00013,DRUG,DRUG_TARGETS,TARGET,P98164
DB00013,DRUG,DRUG_TARGETS,TARGET,Q9Y5Y6
DB00013,DRUG,DRUG_TARGETS,TARGET,P14543
DB00014,DRUG,DRUG_TARGETS,TARGET,P22888
DB00014,DRUG,DRUG_TARGETS,TARGET,P30968
DB00015,DRUG,DRUG_TARGETS,TARGET,P00747
DB00015,DRUG,DRUG_TARGETS,TARGET,P02671
DB00015,DRUG,DRUG_TARGETS,TARGET,P05121
DB00016,DRUG,DRUG_TARGETS,TARGET,P19235
